id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
38284,YCHB,small_airport,Cherrabah Airport,-28.4301,152.08895,2228,OC,AU,AU-QLD,Cherrabah Homestead Resort,no,,CRH,YCHB,,,,
506899,YCHI,small_airport,Cape Shield (Djarrakpi) Airport,-13.287756,136.354827,30,OC,AU,AU-NT,East Arnhem,no,,,YCHI,,,,
315620,YCHK,small_airport,Christmas Creek Airport,-22.354302,119.642603,1462,OC,AU,AU-WA,Christmas Creek Mine,yes,YCHK,CKW,YCHK,,,https://en.wikipedia.org/wiki/Graeme_Rowley_Aerodrome,Graeme Rowley Aerodrome
27457,YCHL,small_airport,Charlton Airport,-36.25,143.300003,458,OC,AU,AU-VIC,Charlton,no,,,YCHL,,,,
38285,YCHR,small_airport,Childra Airport,-31.700000762939453,134.83299255371094,,OC,AU,AU-SA,,no,,,YCHR,,,,
26953,YCHT,small_airport,Charters Towers Airport,-20.0431,146.272995,955,OC,AU,AU-QLD,,no,YCHT,CXT,YCHT,,,https://en.wikipedia.org/wiki/Charters_Towers_Airport,
27458,YCIG,small_airport,Corrigin Airport,-32.337981,117.827425,,OC,AU,AU-WA,,no,,,YCIG,,,,
26954,YCIN,medium_airport,RAAF Base Curtin,-17.581389,123.828333,300,OC,AU,AU-WA,Derby,no,YCIN,DCN,YCIN,,,https://en.wikipedia.org/wiki/RAAF_Curtin,
27459,YCJU,small_airport,Conjuboy Airport,-18.68515,144.748292,,OC,AU,AU-QLD,,no,,,YCJU,,,,
38286,YCKA,small_airport,Curdimurka Airport,-29.476699829101562,137.08799743652344,,OC,AU,AU-SA,,no,,,YCKA,,,,
27460,YCKD,small_airport,Clarke Island Airport,-40.518719,148.125929,197,OC,AU,AU-TAS,Cape Barren Island,no,,,YCKD,,,,
27461,YCKI,small_airport,Croker Island Airport,-11.165,132.483002,16,OC,AU,AU-NT,,no,YCKI,CKI,YCKI,,,https://en.wikipedia.org/wiki/Croker_Island_Airport,
26955,YCKN,medium_airport,Cooktown Airport,-15.443649,145.183221,26,OC,AU,AU-QLD,,yes,YCKN,CTN,YCKN,,,https://en.wikipedia.org/wiki/Cooktown_Airport,
27462,YCKY,small_airport,Cocklebiddy Airport,-32.042741,126.09122,290,OC,AU,AU-WA,,no,,,YCKY,,,,
29789,YCLA,small_airport,Clare Station Airport,-33.406898498535156,143.94000244140625,266,OC,AU,AU-NSW,,no,,,YCLA,,,,
333589,YCLB,small_airport,Claremont Airbase,-34.992641,138.927215,1494,OC,AU,AU-SA,Brukunga,no,,,YCLB,,,https://en.wikipedia.org/wiki/Claremont_Airbase,
27463,YCLE,small_airport,Callendale Airport,-37.24330139160156,140.44500732421875,,OC,AU,AU-SA,,no,,,YCLE,,,,
38287,YCLG,small_airport,Coolgardie Airport,-30.89727,121.19502,1319,OC,AU,AU-WA,Coolgardie,no,,,YCLG,,,,
38288,YCLM,small_airport,Collymongle Airport,-29.478408,148.78649,,OC,AU,AU-NSW,,no,,,YCLM,,,,
27464,YCLQ,small_airport,Cape Leveque Airport,-16.401203,122.932148,,OC,AU,AU-WA,Dampier Peninsula,no,,,YCLQ,,,,"Kooljaman, Kooljamin"
38289,YCLT,small_airport,Collector Airport,-34.88330078125,149.41700744628906,,OC,AU,AU-NSW,,no,,,YCLT,,,,
27465,YCLY,small_airport,Coleambally Airport,-34.802158,145.846664,,OC,AU,AU-NSW,,no,,,YCLY,,,,
509742,YCMB,small_airport,Cambooya Airfield,-27.720048,151.873244,1628,OC,AU,AU-QLD,Cambooya,no,,,YCMB,,,,
27466,YCMH,small_airport,Camden Haven Airport,-31.665000915527344,152.74200439453125,2,OC,AU,AU-NSW,,no,,,YCMH,,,,
27467,YCMK,small_airport,Camel Creek Airport,-18.857807,145.476481,,OC,AU,AU-QLD,,no,,,YCMK,,,,
38290,YCMM,small_airport,Cummins Town Airport,-34.253133,135.709616,,OC,AU,AU-SA,,no,,,YCMM,,,,
26956,YCMT,medium_airport,Clermont Airport,-22.7731,147.621002,908,OC,AU,AU-QLD,,no,YCMT,CMQ,YCMT,,,https://en.wikipedia.org/wiki/Clermont_Airport,
26957,YCMU,medium_airport,Cunnamulla Airport,-28.030000686645508,145.6219940185547,630,OC,AU,AU-QLD,,yes,YCMU,CMA,YCMU,,,https://en.wikipedia.org/wiki/Cunnamulla_Airport,
27468,YCMW,small_airport,Camooweal Airport,-19.911699,138.125,241,OC,AU,AU-QLD,,no,YCMW,CML,YCMW,,,https://en.wikipedia.org/wiki/Camooweal_Airport,
29805,YCNA,small_airport,Corona Station Airport,-31.290800094604492,141.45199584960938,748,OC,AU,AU-NSW,,no,,,YCNA,,,,
27469,YCNF,small_airport,Camp Nifty Airport,-21.6717,121.586998,295,OC,AU,AU-WA,,no,YCNF,NIF,YCNF,,,https://en.wikipedia.org/wiki/Nifty_Airport,
27470,YCNG,small_airport,Cooranga Airport,-36.81999969482422,140.2729949951172,,OC,AU,AU-SA,,no,,,YCNG,,,,
38291,YCNH,small_airport,Carnarmah Airport,-29.68374,115.893662,925,OC,AU,AU-WA,Carnarmah,no,,,YCNH,,,,
26958,YCNK,small_airport,Cessnock Airport,-32.787498,151.341995,210,OC,AU,AU-NSW,,no,YCNK,CES,YCNK,,http://www.cessnock.nsw.gov.au/community/business/airport,https://en.wikipedia.org/wiki/Cessnock_Airport,
26959,YCNM,medium_airport,Coonamble Airport,-30.980946,148.377833,604,OC,AU,AU-NSW,,yes,YCNM,CNB,YCNM,,,https://en.wikipedia.org/wiki/Coonamble_Airport,
27472,YCNN,small_airport,Coonana Airport,-31.016700744628906,123.16699981689453,,OC,AU,AU-WA,,no,,,YCNN,,,,
38292,YCNO,small_airport,Conargo Airport,-35.313771,145.106214,,OC,AU,AU-NSW,,no,,,YCNO,,,,
27473,YCNQ,small_airport,Coonawarra Airport,-37.277187,140.811759,,OC,AU,AU-SA,,no,,,YCNQ,,,,
27474,YCNR,small_airport,Cann River Airport,-37.516700744628906,149.16700744628906,,OC,AU,AU-VIC,,no,,,YCNR,,,,
38293,YCNS,small_airport,Coniston Airport,-22.13330078125,132.5330047607422,,OC,AU,AU-NT,,no,,,YCNS,,,,
38294,YCNX,small_airport,Cooranga Airport,-29.095166,150.775822,,OC,AU,AU-NSW,,no,,,YCNX,,,,
26960,YCNY,small_airport,Century Mine Airport,-18.759331,138.709651,416,OC,AU,AU-QLD,,no,,,YCNY,,,https://en.wikipedia.org/wiki/Century_Mine_Airport,
32085,YCOD,small_airport,Cordillo Downs Airport,-26.74530029296875,140.63800048828125,125,OC,AU,AU-SA,Cordillo Downs,no,YCOD,ODL,YCOD,,,,
26961,YCOE,medium_airport,Coen Airport,-13.761133,143.113311,532,OC,AU,AU-QLD,Coen,yes,YCOE,CUQ,YCOE,,,https://en.wikipedia.org/wiki/Coen_Airport,
27476,YCOF,small_airport,Coffin Bay Airport,-34.589022,135.509115,,OC,AU,AU-SA,Coffin Bay,no,,,YCOF,,,,
38295,YCOG,small_airport,Coongan Airport,-20.683300018310547,119.66699981689453,,OC,AU,AU-WA,,no,,,YCOG,,,,
27477,YCOH,small_airport,Cohuna Airport,-35.826478,144.213812,,OC,AU,AU-VIC,,no,,,YCOH,,,,
27478,YCOI,small_airport,Collie Airport,-33.3666992188,116.217002869,818,OC,AU,AU-WA,Collie,no,YCOI,CIE,YCOI,,,,
26962,YCOM,medium_airport,Cooma Snowy Mountains Airport,-36.300445,148.972408,3088,OC,AU,AU-NSW,Cooma,yes,YCOM,OOM,YCOM,,,https://en.wikipedia.org/wiki/Cooma_-_Snowy_Mountains_Airport,
27480,YCOO,small_airport,Cooinda Airport,-12.903300285339355,132.53199768066406,13,OC,AU,AU-NT,,no,YCOO,CDA,YCOO,,,,
26963,YCOR,medium_airport,Corowa Airport,-35.994701,146.356995,469,OC,AU,AU-NSW,,no,YCOR,CWW,YCOR,,,https://en.wikipedia.org/wiki/Corowa_Airport,
38296,YCOS,small_airport,Cosmo Newbery Airport,-27.985963,122.904853,,OC,AU,AU-WA,Cosmo Newbery,no,,,YCOS,,,,
27481,YCOY,small_airport,Coral Bay Airport,-23.128851,113.780626,5,OC,AU,AU-WA,Lyndon,no,,,YCOY,,,,
38297,YCPD,small_airport,Cape Don Airport,-11.298299789428711,131.82699584960938,,OC,AU,AU-NT,,no,,,YCPD,,,,
38298,YCPG,small_airport,Coppins Gap Airport,-20.950000762939453,120.03299713134766,,OC,AU,AU-WA,,no,,,YCPG,,,,
38299,YCPH,small_airport,Copper Hills Airstrip,-27.94948,134.335818,,OC,AU,AU-SA,Evelyn Downs,no,,,YCPH,,,,
506893,YCPK,small_airport,Coombing Park Airport,-33.62859,149.125737,2408,OC,AU,AU-NSW,Carcoar,no,,,YCPK,,,,
27482,YCPN,small_airport,Carpentaria Downs Airport,-18.718481,144.313028,1585,OC,AU,AU-QLD,Carpentaria Downs,no,,CFP,YCPN,,,,
507003,YCPR,small_airport,Cape Preston Airport,-20.977222,116.275,77,OC,AU,AU-WA,Cape Preston,no,YCPR,,YCPR,,,,
333588,YCPT,small_airport,Carrapateena Airport,-31.30831,137.443396,672,OC,AU,AU-SA,Carrapateena mine,no,,,YCPT,,,https://en.wikipedia.org/wiki/Carrapateena_Airport,
27483,YCRA,small_airport,Carinda Airport,-30.45829963684082,147.70799255371094,131,OC,AU,AU-NSW,,no,,,YCRA,,,,
430029,YCRD,small_airport,Currandooley Airport,-35.184331,149.485688,2251,OC,AU,AU-NSW,Currandooley,no,,,YCRD,,,,
